DATE,HomePriceIndex,FedFundsRate,UnemployedRate,CPI,HousingStarts
2003-03-31,129.3216666666667,1.25,5.866666666666667,183.36666666666667,1736.0
2003-06-30,131.75633333333334,1.2466666666666668,6.133333333333333,183.0666666666667,1753.6666666666667
2003-09-30,135.01333333333332,1.0166666666666666,6.133333333333333,184.4333333333333,1889.6666666666667
2003-12-31,138.83633333333333,0.9966666666666667,5.833333333333333,185.13333333333333,2035.6666666666667
2004-03-31,143.299,1.0033333333333332,5.7,186.70000000000002,1918.3333333333333
2004-06-30,148.21033333333332,1.01,5.599999999999999,188.16666666666666,1937.3333333333333
2004-09-30,152.718,1.4333333333333333,5.433333333333334,189.36666666666667,1977.0
2004-12-31,157.53766666666667,1.95,5.433333333333334,191.4,1965.3333333333333
2005-03-31,163.483,2.47,5.3,192.36666666666667,2071.6666666666665
2005-06-30,169.34900000000002,2.9433333333333334,5.1000000000000005,193.66666666666666,2051.3333333333335
2005-09-30,174.581,3.4599999999999995,4.966666666666667,196.6,2100.0
2005-12-31,179.54033333333334,3.98,4.966666666666667,198.4333333333333,2068.6666666666665
2006-03-31,183.32433333333333,4.456666666666667,4.733333333333333,199.46666666666667,2120.3333333333335
2006-06-30,183.99699999999999,4.906666666666667,4.633333333333333,201.26666666666665,1855.0
2006-09-30,182.81933333333333,5.246666666666667,4.633333333333334,203.16666666666666,1702.3333333333333
2006-12-31,183.64833333333334,5.246666666666667,4.433333333333334,202.33333333333334,1570.0
2007-03-31,184.42233333333334,5.256666666666667,4.5,204.317,1461.3333333333333
2007-06-30,181.62166666666667,5.25,4.5,206.631,1451.0
2007-09-30,178.261,5.073333333333333,4.666666666666667,207.939,1289.0
2007-12-31,175.36966666666663,4.496666666666667,4.8,210.4896666666667,1166.0
2008-03-31,171.57399999999998,3.1766666666666663,5.0,212.76966666666667,1064.0
2008-06-30,166.67033333333333,2.0866666666666664,5.333333333333333,215.5376666666667,1010.6666666666666
2008-09-30,161.95333333333335,1.9400000000000002,6.0,218.861,862.3333333333334
2008-12-31,156.029,0.5066666666666667,6.866666666666667,213.84866666666667,663.0
2009-03-31,150.06033333333335,0.18333333333333335,8.266666666666667,212.37766666666667,525.6666666666666
2009-06-30,147.91033333333334,0.18000000000000002,9.299999999999999,213.50699999999998,534.3333333333334
2009-09-30,148.237,0.15666666666666665,9.633333333333333,215.34399999999997,588.3333333333334
2009-12-31,147.972,0.12,9.933333333333334,217.03,567.6666666666666
2010-03-31,146.29533333333333,0.13333333333333333,9.833333333333334,217.37400000000002,618.0
2010-06-30,146.17,0.19333333333333336,9.633333333333333,217.29733333333334,602.0
2010-09-30,143.97,0.18666666666666668,9.466666666666667,217.93433333333334,579.6666666666666
2010-12-31,142.24866666666665,0.18666666666666668,9.5,219.69899999999998,542.3333333333334
2011-03-31,140.61166666666665,0.15666666666666668,9.033333333333333,222.04366666666667,582.3333333333334
2011-06-30,139.923,0.09333333333333334,9.066666666666666,224.56833333333336,574.3333333333334
2011-09-30,139.23233333333334,0.08333333333333333,9.0,226.03266666666664,619.3333333333334
2011-12-31,137.25366666666667,0.07333333333333335,8.633333333333333,227.04733333333334,671.6666666666666
2012-03-31,137.00833333333335,0.10333333333333333,8.266666666666667,228.32600000000002,707.3333333333334
2012-06-30,140.108,0.15333333333333335,8.2,228.808,739.3333333333334
2012-09-30,142.2843333333333,0.14333333333333334,8.033333333333333,229.841,780.3333333333334
2012-12-31,144.55666666666667,0.16,7.8,231.36933333333332,908.0
2013-03-31,148.18633333333332,0.14333333333333334,7.8,232.29933333333335,953.3333333333334
2013-06-30,152.85333333333332,0.11666666666666665,7.8,232.045,868.0
2013-09-30,156.92666666666665,0.08333333333333333,7.8,233.29999999999998,882.3333333333334
2013-12-31,160.102,0.08666666666666667,7.8,234.1626666666667,1009.0
2014-03-31,162.50833333333335,0.07333333333333335,7.8,235.621,934.0
2014-06-30,163.69833333333335,0.09333333333333334,7.8,236.87233333333333,987.0
2014-09-30,165.22933333333333,0.09000000000000001,7.8,237.47833333333332,1030.6666666666667
2014-12-31,167.336,0.09999999999999999,7.8,236.88833333333332,1049.3333333333333
2015-03-31,169.17666666666665,0.11,7.8,235.35500000000002,977.0
2015-06-30,170.87699999999998,0.12333333333333334,7.8,236.96,1158.0
2015-09-30,172.9623333333333,0.1366666666666667,7.8,237.855,1166.6666666666667
2015-12-31,175.67733333333334,0.16,7.8,237.837,1125.3333333333333
2016-03-31,177.67966666666666,0.36000000000000004,7.8,237.68933333333334,1142.6666666666667
2016-06-30,179.41766666666663,0.37333333333333335,7.8,239.59033333333332,1171.3333333333333
2016-09-30,181.82533333333333,0.39666666666666667,7.8,240.60733333333334,1159.3333333333333
2016-12-31,184.72799999999998,0.45,7.8,242.13466666666667,1235.0
2017-03-31,187.35766666666666,0.7000000000000001,7.8,243.83866666666665,1217.0
2017-06-30,189.60366666666664,0.9500000000000001,7.8,244.12,1184.0
2017-09-30,192.60566666666668,1.1533333333333333,7.8,245.287,1182.0
2017-12-31,195.95733333333337,1.2033333333333334,7.8,247.23833333333334,1235.6666666666667
2018-03-31,199.16,1.4466666666666665,7.8,249.3216666666667,1298.0
2018-06-30,201.42766666666668,1.7366666666666666,7.8,250.679,1275.0
2018-09-30,203.61933333333332,1.9233333333333331,7.8,251.68633333333332,1248.6666666666667
2018-12-31,205.61766666666668,2.22,7.8,252.711,1165.6666666666667
2019-03-31,206.81566666666666,2.4033333333333333,7.8,253.38566666666665,1179.3333333333333
2019-06-30,208.096,2.3966666666666665,7.8,255.24733333333333,1269.3333333333333
2019-09-30,210.02433333333332,2.19,7.8,256.08933333333334,1308.6666666666667
2019-12-31,212.80233333333334,1.6433333333333333,7.8,257.888,1408.6666666666667
2020-03-31,215.784,1.26,7.8,258.7673333333333,1455.6666666666667
2020-06-30,217.1196666666667,0.06,7.8,256.326,1079.3333333333333
2020-09-30,222.40833333333333,0.09333333333333334,7.8,259.2416666666667,1462.3333333333333
2020-12-31,233.13400000000001,0.09000000000000001,7.8,261.04966666666667,1577.0
2021-03-31,242.54166666666666,0.08,7.8,263.6703333333333,1571.3333333333333
2021-06-30,253.53333333333333,0.07,7.8,268.62266666666665,1579.0
2021-09-30,266.4346666666667,0.09000000000000001,7.8,272.89000000000004,1586.0
2021-12-31,277.444,0.08,7.8,278.6803333333333,1682.6666666666667
2022-03-31,291.314,0.12,7.8,284.826,1710.6666666666667
2022-06-30,302.7646666666667,0.77,7.8,291.7063333333333,1636.6666666666667
2022-09-30,301.1613333333333,2.19,7.8,295.509,1460.6666666666667
2022-12-31,298.253,3.653333333333333,7.8,298.44100000000003,1400.0
2023-03-31,298.1616666666667,4.516666666666667,7.8,301.20300000000003,1369.0
2023-06-30,302.38533333333334,4.989999999999999,7.8,303.46666666666664,1455.3333333333333
2023-09-30,308.97433333333333,5.260000000000001,7.8,306.03433333333334,1380.3333333333333
2023-12-31,313.9316666666667,5.33,7.8,308.099,1481.0
